"Story","Title","Result","Date","Stability","Duration (s)"
"As an user of the movie application, I want to get all the information about a specific movie","Get a specific movie","SUCCESS","2024-11-06T07:29:57.320842738-05:00[America/Bogota]","0.0","0.41"
"As an user of the movie application, I want to get all the information about a specific movie","Get all movies","SUCCESS","2024-11-06T07:29:58.585601407-05:00[America/Bogota]","0.0","0.0"
"As a user of the movie application, I want to create a new movie","Create a new movie successfully","SUCCESS","2024-11-06T07:29:58.75398716-05:00[America/Bogota]","0.0","0.0"
"As a user of the movie application, I want to create a new movie","Create a movie with invalid data","SUCCESS","2024-11-06T07:29:58.81009586-05:00[America/Bogota]","0.0","0.0"
