"Story","Title","Result","Date","Stability","Duration (s)"
"As a user of the movie application, I want to create a new movie","Create a new movie successfully","SUCCESS","2024-11-06T07:25:14.030252573-05:00[America/Bogota]","0.0","0.01"
"As a user of the movie application, I want to create a new movie","Create a movie with invalid data","SUCCESS","2024-11-06T07:25:14.093298315-05:00[America/Bogota]","0.0","0.0"
